Player;Tm;Pos;Weighted_Score;Salary
Fred VanVleet;TOR;PG;0.9110576923076923;21880950
Shai Gilgeous-Alexander;OKC;PG;0.8699480143839899;31831634
Tyrese Haliburton;IND;PG;0.8506879299562227;4340274
Darius Garland;CLE;PG;0.8383169168230143;9185668
Jrue Holiday;MIL;PG;0.7826766729205754;35338527
Luka Dončić;DAL;PG;0.7769113508442778;38197960
Kevin Porter Jr.;HOU;PG;0.7732371794871795;3313168
D'Angelo Russell;LAL;PG;0.7605143839899937;32309411
Mike Conley;MIN;PG;0.7594883520950595;23353409
Killian Hayes;DET;PG;0.759302689180738;6011093
James Harden;PHI;PG;0.7513582707942464;33979828
Jalen Brunson;NYK;PG;0.7479674796747967;28556783
Jamal Murray;DEN;PG;0.7466580675422139;32590362
Trae Young;ATL;PG;0.7278474828017512;38197960
De'Aaron Fox;SAC;PG;0.7268214509068167;31252978
Markelle Fultz;ORL;PG;0.7262546904315197;16989914
Spencer Dinwiddie;BRK;SG-PG;0.7158673389618512;20078989
Tre Jones;SAS;PG;0.7043366948092558;1835550
Russell Westbrook;LAC;PG;0.6827411663539713;48478072
Jordan Poole;GSW;PG;0.6599437148217637;4017238
Patrick Beverley;CHI;SG-PG;0.6587417917448406;14211408
Damian Lillard;POR;PG;0.6491654940587868;43754169